best m,c is 1.640000,12.340000 with error 12.470168 in direction 0
best m,c is 1.640000,12.350000 with error 12.467034 in direction 0
best m,c is 1.640000,12.360000 with error 12.463906 in direction 0
best m,c is 1.640000,12.370000 with error 12.460786 in direction 0
best m,c is 1.640000,12.380000 with error 12.457673 in direction 0
best m,c is 1.640000,12.390000 with error 12.454567 in direction 0
best m,c is 1.640000,12.400000 with error 12.451469 in direction 0
best m,c is 1.640000,12.410000 with error 12.448377 in direction 0
best m,c is 1.640000,12.420000 with error 12.445293 in direction 0
best m,c is 1.640000,12.430000 with error 12.442217 in direction 0
best m,c is 1.640000,12.440000 with error 12.439147 in direction 0
best m,c is 1.640000,12.450000 with error 12.436085 in direction 0
best m,c is 1.640000,12.460000 with error 12.433030 in direction 0
best m,c is 1.640000,12.470000 with error 12.429982 in direction 0
best m,c is 1.640000,12.480000 with error 12.426942 in direction 0
best m,c is 1.640000,12.490000 with error 12.423909 in direction 0
best m,c is 1.640000,12.500000 with error 12.420884 in direction 0
best m,c is 1.640000,12.510000 with error 12.417865 in direction 0
best m,c is 1.640000,12.520000 with error 12.414854 in direction 0
best m,c is 1.640000,12.530000 with error 12.411850 in direction 0
best m,c is 1.640000,12.540000 with error 12.408854 in direction 0
best m,c is 1.640000,12.550000 with error 12.405865 in direction 0
best m,c is 1.640000,12.560000 with error 12.402883 in direction 0
best m,c is 1.640000,12.570000 with error 12.399909 in direction 0
best m,c is 1.640000,12.580000 with error 12.396942 in direction 0
best m,c is 1.640000,12.590000 with error 12.393982 in direction 0
best m,c is 1.640000,12.600000 with error 12.391030 in direction 0
best m,c is 1.640000,12.610000 with error 12.388085 in direction 0
best m,c is 1.640000,12.620000 with error 12.385148 in direction 0
best m,c is 1.640000,12.630000 with error 12.382218 in direction 0
best m,c is 1.640000,12.640000 with error 12.379295 in direction 0
best m,c is 1.640000,12.650000 with error 12.376379 in direction 0
best m,c is 1.640000,12.660000 with error 12.373471 in direction 0
best m,c is 1.640000,12.670000 with error 12.370571 in direction 0
best m,c is 1.640000,12.680000 with error 12.367678 in direction 0
best m,c is 1.640000,12.690000 with error 12.364792 in direction 0
best m,c is 1.640000,12.700000 with error 12.361914 in direction 0
best m,c is 1.640000,12.710000 with error 12.359043 in direction 0
best m,c is 1.640000,12.720000 with error 12.356179 in direction 0
best m,c is 1.640000,12.730000 with error 12.353323 in direction 0
best m,c is 1.630000,12.740000 with error 12.350400 in direction 7
best m,c is 1.630000,12.750000 with error 12.347157 in direction 0
best m,c is 1.630000,12.760000 with error 12.343921 in direction 0
best m,c is 1.630000,12.770000 with error 12.340693 in direction 0
best m,c is 1.630000,12.780000 with error 12.337472 in direction 0
best m,c is 1.630000,12.790000 with error 12.334258 in direction 0
best m,c is 1.630000,12.800000 with error 12.331052 in direction 0
best m,c is 1.630000,12.810000 with error 12.327853 in direction 0
best m,c is 1.630000,12.820000 with error 12.324661 in direction 0
best m,c is 1.630000,12.830000 with error 12.321476 in direction 0
best m,c is 1.630000,12.840000 with error 12.318299 in direction 0
best m,c is 1.630000,12.850000 with error 12.315129 in direction 0
best m,c is 1.630000,12.860000 with error 12.311967 in direction 0
best m,c is 1.630000,12.870000 with error 12.308811 in direction 0
best m,c is 1.630000,12.880000 with error 12.305663 in direction 0
best m,c is 1.630000,12.890000 with error 12.302522 in direction 0
best m,c is 1.630000,12.900000 with error 12.299389 in direction 0
best m,c is 1.630000,12.910000 with error 12.296263 in direction 0
best m,c is 1.630000,12.920000 with error 12.293144 in direction 0
best m,c is 1.630000,12.930000 with error 12.290033 in direction 0
best m,c is 1.630000,12.940000 with error 12.286929 in direction 0
best m,c is 1.630000,12.950000 with error 12.283832 in direction 0
best m,c is 1.630000,12.960000 with error 12.280743 in direction 0
best m,c is 1.630000,12.970000 with error 12.277661 in direction 0
best m,c is 1.630000,12.980000 with error 12.274586 in direction 0
best m,c is 1.630000,12.990000 with error 12.271519 in direction 0
best m,c is 1.630000,13.000000 with error 12.268459 in direction 0
best m,c is 1.630000,13.010000 with error 12.265407 in direction 0
best m,c is 1.630000,13.020000 with error 12.262362 in direction 0
best m,c is 1.630000,13.030000 with error 12.259324 in direction 0
best m,c is 1.630000,13.040000 with error 12.256294 in direction 0
best m,c is 1.630000,13.050000 with error 12.253271 in direction 0
best m,c is 1.630000,13.060000 with error 12.250256 in direction 0
best m,c is 1.630000,13.070000 with error 12.247248 in direction 0
best m,c is 1.630000,13.080000 with error 12.244248 in direction 0
best m,c is 1.630000,13.090000 with error 12.241254 in direction 0
best m,c is 1.630000,13.100000 with error 12.238269 in direction 0
best m,c is 1.630000,13.110000 with error 12.235291 in direction 0
best m,c is 1.630000,13.120000 with error 12.232320 in direction 0
best m,c is 1.630000,13.130000 with error 12.229356 in direction 0
best m,c is 1.630000,13.140000 with error 12.226401 in direction 0
best m,c is 1.630000,13.150000 with error 12.223452 in direction 0
best m,c is 1.630000,13.160000 with error 12.220511 in direction 0
best m,c is 1.630000,13.170000 with error 12.217578 in direction 0
best m,c is 1.630000,13.180000 with error 12.214652 in direction 0
best m,c is 1.630000,13.190000 with error 12.211734 in direction 0
best m,c is 1.630000,13.200000 with error 12.208823 in direction 0
best m,c is 1.630000,13.210000 with error 12.205919 in direction 0
best m,c is 1.630000,13.220000 with error 12.203023 in direction 0
best m,c is 1.630000,13.230000 with error 12.200135 in direction 0
best m,c is 1.630000,13.240000 with error 12.197254 in direction 0
best m,c is 1.630000,13.250000 with error 12.194380 in direction 0
best m,c is 1.630000,13.260000 with error 12.191514 in direction 0
best m,c is 1.630000,13.270000 with error 12.188656 in direction 0
best m,c is 1.630000,13.280000 with error 12.185805 in direction 0
best m,c is 1.630000,13.290000 with error 12.182962 in direction 0
best m,c is 1.630000,13.300000 with error 12.180126 in direction 0
best m,c is 1.630000,13.310000 with error 12.177298 in direction 0
best m,c is 1.630000,13.320000 with error 12.174477 in direction 0
best m,c is 1.630000,13.330000 with error 12.171664 in direction 0
best m,c is 1.630000,13.340000 with error 12.168859 in direction 0
best m,c is 1.630000,13.350000 with error 12.166061 in direction 0
best m,c is 1.630000,13.360000 with error 12.163271 in direction 0
best m,c is 1.630000,13.370000 with error 12.160488 in direction 0
best m,c is 1.630000,13.380000 with error 12.157713 in direction 0
best m,c is 1.630000,13.390000 with error 12.154945 in direction 0
best m,c is 1.620000,13.400000 with error 12.152118 in direction 7
best m,c is 1.620000,13.410000 with error 12.148957 in direction 0
best m,c is 1.620000,13.420000 with error 12.145804 in direction 0
best m,c is 1.620000,13.430000 with error 12.142659 in direction 0
best m,c is 1.620000,13.440000 with error 12.139520 in direction 0
best m,c is 1.620000,13.450000 with error 12.136390 in direction 0
best m,c is 1.620000,13.460000 with error 12.133266 in direction 0
best m,c is 1.620000,13.470000 with error 12.130150 in direction 0
best m,c is 1.620000,13.480000 with error 12.127042 in direction 0
best m,c is 1.620000,13.490000 with error 12.123941 in direction 0
best m,c is 1.620000,13.500000 with error 12.120847 in direction 0
best m,c is 1.620000,13.510000 with error 12.117761 in direction 0
best m,c is 1.620000,13.520000 with error 12.114683 in direction 0
best m,c is 1.620000,13.530000 with error 12.111611 in direction 0
best m,c is 1.620000,13.540000 with error 12.108548 in direction 0
best m,c is 1.620000,13.550000 with error 12.105492 in direction 0
best m,c is 1.620000,13.560000 with error 12.102443 in direction 0
best m,c is 1.620000,13.570000 with error 12.099402 in direction 0
best m,c is 1.620000,13.580000 with error 12.096368 in direction 0
best m,c is 1.620000,13.590000 with error 12.093342 in direction 0
best m,c is 1.620000,13.600000 with error 12.090323 in direction 0
best m,c is 1.620000,13.610000 with error 12.087312 in direction 0
best m,c is 1.620000,13.620000 with error 12.084308 in direction 0
best m,c is 1.620000,13.630000 with error 12.081312 in direction 0
best m,c is 1.620000,13.640000 with error 12.078324 in direction 0
best m,c is 1.620000,13.650000 with error 12.075343 in direction 0
best m,c is 1.620000,13.660000 with error 12.072369 in direction 0
best m,c is 1.620000,13.670000 with error 12.069403 in direction 0
best m,c is 1.620000,13.680000 with error 12.066445 in direction 0
best m,c is 1.620000,13.690000 with error 12.063494 in direction 0
best m,c is 1.620000,13.700000 with error 12.060551 in direction 0
best m,c is 1.620000,13.710000 with error 12.057615 in direction 0
best m,c is 1.620000,13.720000 with error 12.054687 in direction 0
best m,c is 1.620000,13.730000 with error 12.051767 in direction 0
best m,c is 1.620000,13.740000 with error 12.048854 in direction 0
best m,c is 1.620000,13.750000 with error 12.045948 in direction 0
best m,c is 1.620000,13.760000 with error 12.043051 in direction 0
best m,c is 1.620000,13.770000 with error 12.040161 in direction 0
best m,c is 1.620000,13.780000 with error 12.037278 in direction 0
best m,c is 1.620000,13.790000 with error 12.034403 in direction 0
best m,c is 1.620000,13.800000 with error 12.031536 in direction 0
best m,c is 1.620000,13.810000 with error 12.028676 in direction 0
best m,c is 1.620000,13.820000 with error 12.025824 in direction 0
best m,c is 1.620000,13.830000 with error 12.022980 in direction 0
best m,c is 1.620000,13.840000 with error 12.020143 in direction 0
best m,c is 1.620000,13.850000 with error 12.017314 in direction 0
best m,c is 1.620000,13.860000 with error 12.014493 in direction 0
best m,c is 1.620000,13.870000 with error 12.011679 in direction 0
best m,c is 1.620000,13.880000 with error 12.008873 in direction 0
best m,c is 1.620000,13.890000 with error 12.006075 in direction 0
best m,c is 1.620000,13.900000 with error 12.003284 in direction 0
best m,c is 1.620000,13.910000 with error 12.000501 in direction 0
best m,c is 1.620000,13.920000 with error 11.997726 in direction 0
best m,c is 1.620000,13.930000 with error 11.994958 in direction 0
best m,c is 1.620000,13.940000 with error 11.992198 in direction 0
best m,c is 1.620000,13.950000 with error 11.989446 in direction 0
best m,c is 1.620000,13.960000 with error 11.986702 in direction 0
best m,c is 1.620000,13.970000 with error 11.983965 in direction 0
best m,c is 1.620000,13.980000 with error 11.981236 in direction 0
